
"Acrimony","신랄"
"Acuity","예민함"
"Adamant","견고한 의지"
"Adder's Touch","살무사의 접촉"
"Adjacent Animosity","근처의 적개심"
"Admonisher","꾸짖는 자"
"Aggressive Bastion","공격적인 보루"
"Agility","민첩함"
"Alacrity","기민성"
"Ambidexterity","양손잡이"
"Amplify","증폭"
"Ancestral Knowledge","선대의 지식"
"Annihilation","전멸"
"Anoint Acrimony","신랄 성유 붓기"
"Anoint Acuity","예민함 성유 붓기"
"Anoint Adamant","견고한 의지 성유 붓기"
"Anoint Adder's Touch","살무사의 접촉 성유 붓기"
"Anoint Adjacent Animosity","근처의 적개심 성유 붓기"
"Anoint Admonisher","꾸짖는 자 성유 붓기"
"Anoint Aggressive Bastion","공격적인 보루 성유 붓기"
"Anoint Agility","민첩함 성유 붓기"
"Anoint Alacrity","기민성 성유 붓기"
"Anoint Ambidexterity","양손잡이 성유 붓기"
"Anoint Amplify","증폭 성유 붓기"
"Anoint Ancestral Knowledge","선대의 지식 성유 붓기"
"Anoint Annihilation","전멸 성유 붓기"
"Anoint Anointed Flesh","기름 부은 살 성유 붓기"
"Anoint Arcane Capacitor","비전 축전기 성유 붓기"
"Anoint Arcane Chemistry","비전의 반응 성유 붓기"
"Anoint Arcane Expanse","비전 팽창 성유 붓기"
"Anoint Arcane Focus","비전의 집중 성유 붓기"
"Anoint Arcane Guarding","비전 수호 성유 붓기"
"Anoint Arcane Potency","비전의 잠재력 성유 붓기"
"Anoint Arcane Sanctuary","비전의 성역 성유 붓기"
"Anoint Arcane Will","비전의 의지 성유 붓기"
"Anoint Arcanist's Dominion","신비학자의 지배력 성유 붓기"
"Anoint Arcing Blows","전호의 일격 성유 붓기"
"Anoint Arsonist","방화범 성유 붓기"
"Anoint Art of the Gladiator","검투사의 기교 성유 붓기"
"Anoint Ash, Frost and Storm","재, 서리, 태풍 성유 붓기"
"Anoint Aspect of Stone","돌의 위상 성유 붓기"
"Anoint Aspect of the Eagle","독수리의 위상 성유 붓기"
"Anoint Aspect of the Lynx","스라소니의 위상 성유 붓기"
"Anoint Assassination","암살 성유 붓기"
"Anoint Assured Strike","확실한 타격 성유 붓기"
"Anoint Asylum","보호소 성유 붓기"
"Anoint Atrophy","위축 성유 붓기"
"Anoint Avatar of the Hunt","사냥의 화신 성유 붓기"
"Anoint Backstabbing","암습 성유 붓기"
"Anoint Ballistics","탄도학 성유 붓기"
"Anoint Bannerman","기수 성유 붓기"
"Anoint Barbarism","포악성 성유 붓기"
"Anoint Bastion Breaker","보루 분쇄자 성유 붓기"
"Anoint Battle Rouse","전투 분발 성유 붓기"
"Anoint Beef","근력 성유 붓기"
"Anoint Berserking","광폭화 성유 붓기"
"Anoint Blacksmith's Clout","대장장이의 일격 성유 붓기"
"Anoint Blade Barrier","칼날 방어막 성유 붓기"
"Anoint Blade Master","검의 대가 성유 붓기"
"Anoint Blade of Cunning","교활한 검 성유 붓기"
"Anoint Bladedancer","검의 무희 성유 붓기"
"Anoint Blast Radius","폭발 반경 성유 붓기"
"Anoint Blast Waves","폭발의 물결 성유 붓기"
"Anoint Blood Drinker","피 흡수자 성유 붓기"
"Anoint Blood Siphon","혈액 착취 성유 붓기"
"Anoint Bloodless","무혈 성유 붓기"
"Anoint Bloodletting","출혈 과다 성유 붓기"
"Anoint Blunt Trauma","둔탁한 외상 성유 붓기"
"Anoint Bone Breaker","뼈 분쇄기 성유 붓기"
"Anoint Born to Fight","타고난 싸움꾼 성유 붓기"
"Anoint Brand Equity","낙인 형평성 성유 붓기"
"Anoint Bravery","기개 성유 붓기"
"Anoint Breath of Flames","화염의 숨결 성유 붓기"
"Anoint Breath of Lightning","번개의 숨결 성유 붓기"
"Anoint Breath of Rime","흰서리의 숨결 성유 붓기"
"Anoint Brink of Death","생사의 경계 성유 붓기"
"Anoint Brinkmanship","벼랑 끝 전략 성유 붓기"
"Anoint Brutal Blade","잔인한 검 성유 붓기"
"Anoint Burning Brutality","불타는 포악함 성유 붓기"
"Anoint Butchery","도살 성유 붓기"
"Anoint Cannibalistic Rite","식인 의식 성유 붓기"
"Anoint Careful Conservationist","철저한 보호론자 성유 붓기"
"Anoint Cauterisation","소작 성유 붓기"
"Anoint Champion of the Cause","대의의 용사 성유 붓기"
"Anoint Charisma","신비한 매력 성유 붓기"
"Anoint Circle of Life","생명의 순환 성유 붓기"
"Anoint Claws of the Falcon","매의 발톱 성유 붓기"
"Anoint Claws of the Hawk","사냥매의 발톱 성유 붓기"
"Anoint Claws of the Magpie","까치의 발톱 성유 붓기"
"Anoint Cleansed Thoughts","정화된 생각 성유 붓기"
"Anoint Cleaving","쪼개기 성유 붓기"
"Anoint Clever Construction","교묘한 구조물 성유 붓기"
"Anoint Clever Thief","교묘한 도둑 성유 붓기"
"Anoint Cloth and Chain","천과 사슬 성유 붓기"
"Anoint Coldhearted Calculation","냉담한 계산 성유 붓기"
"Anoint Combat Stamina","전투 지구력 성유 붓기"
"Anoint Command of Steel","강철의 명령 성유 붓기"
"Anoint Concussive Force","충격적인 힘 성유 붓기"
"Anoint Conjured Barrier","상상의 장벽 성유 붓기"
"Anoint Constitution","체질 성유 붓기"
"Anoint Coordination","조율 성유 붓기"
"Anoint Corruption","타락 성유 붓기"
"Anoint Counterweight","평형추 성유 붓기"
"Anoint Courage","용기 성유 붓기"
"Anoint Crackling Speed","치직대는 속도 성유 붓기"
"Anoint Cruel Preparation","잔혹한 준비 성유 붓기"
"Anoint Crusader","십자군 성유 붓기"
"Anoint Crystal Skin","결정 가죽 성유 붓기"
"Anoint Dance of Blades","칼춤 성유 붓기"
"Anoint Dark Arts","어둠의 기술 성유 붓기"
"Anoint Dazzling Strikes","현란한 일격 성유 붓기"
"Anoint Deadly Draw","치명적인 당기기 성유 붓기"
"Anoint Deadly Inclinations","치명적인 의지 성유 붓기"
"Anoint Death Attunement","죽음의 조율 성유 붓기"
"Anoint Decay Ward","부패 수호 성유 붓기"
"Anoint Deep Breaths","심호흡 성유 붓기"
"Anoint Deep Thoughts","깊은 생각 성유 붓기"
"Anoint Deep Wisdom","깊은 지혜 성유 붓기"
"Anoint Defiance","저항 성유 붓기"
"Anoint Defiled Forces","더럽혀진 힘 성유 붓기"
"Anoint Deflection","굴절 성유 붓기"
"Anoint Depth Perception","날카로운 감각 성유 붓기"
"Anoint Dervish","수도승 성유 붓기"
"Anoint Destroyer","파괴자 성유 붓기"
"Anoint Destructive Apparatus","파괴적인 기구 성유 붓기"
"Anoint Devastating Devices","파괴적인 장치 성유 붓기"
"Anoint Devotion","헌신 성유 붓기"
"Anoint Diamond Skin","다이아몬드 피부 성유 붓기"
"Anoint Dire Torment","지독한 고통 성유 붓기"
"Anoint Dirty Techniques","더러운 기술 성유 붓기"
"Anoint Disciple of the Forbidden","금단 신봉자 성유 붓기"
"Anoint Disciple of the Slaughter","학살 신봉자 성유 붓기"
"Anoint Disciple of the Unyielding","완고한 신봉자 성유 붓기"
"Anoint Discipline and Training","수양과 훈련 성유 붓기"
"Anoint Discord Artisan","불화의 장인 성유 붓기"
"Anoint Disemboweling","창자 뽑기 성유 붓기"
"Anoint Disintegration","분해 성유 붓기"
"Anoint Dismembering","사지 절단 성유 붓기"
"Anoint Divine Fervour","신성한 열정 성유 붓기"
"Anoint Divine Fury","신성한 광분 성유 붓기"
"Anoint Divine Judgement","신성한 심판 성유 붓기"
"Anoint Divine Wrath","신성한 진노 성유 붓기"
"Anoint Doom Cast","멸망 시전 성유 붓기"
"Anoint Dreamer","몽상가 성유 붓기"
"Anoint Druidic Rite","드루이드 의식 성유 붓기"
"Anoint Dynamo","정력가 성유 붓기"
"Anoint Eagle Eye","독수리의 눈 성유 붓기"
"Anoint Efficient Explosives","효율적인 폭발물 성유 붓기"
