"Ancient Hex","고대의 사술"
"Area Damage","범위 피해"
"Area of Effect","효과 범위"
"Armour","방어도"
"Attack Damage","공격 피해"
"Attack Speed","공격 속도"
"Aura Effect","오라 효과"
"Automaton Studies","오토마톤 연구"
"Avoid Elemental Ailments","원소 상태 이상 긴급회피"
"Axiom Warden","액시옴 간수"
"Baleful Augmentation","사악한 강화"
"Block","막기"
"Blood-Quenched Bulwark","피 억제 방벽"
"Bloody Flowers' Rebellion","핏빛 꽃송이 봉기"
"Bloody Savagery","피로 물든 야만성"
"Brutal Execution","잔인한 처형"
"Calming Devotion","냉정한 헌신"
"Cast Speed","시전 속도"
"Chainbreaker","사슬 파괴자"
"Chaos Damage","카오스 피해"
"Chaos Resistance","카오스 저항"
"Chitus' Heart","치투스의 심장"
"City Walls","도시 성벽"
"Cloistered","격리됨"
"Cold Damage","냉기 피해"
"Cold Resistance","냉기 저항"
"Commanding Presence","위엄있는 존재감"
"Construct Studies","구조물 연구"
"Corrupted Soul","타락한 영혼"
"Crematorium Worker","화장터 일꾼"
"Critical Strike Chance","치명타 확률"
"Critical Strike Multiplier","치명타 피해 배율"
"Cult of Chaos","카오스의 교단"
"Cult of Fire","불의 교단"
"Cult of Ice","얼음의 교단"
"Cult of Lightning","번개의 교단"
"Curse Effect","저주 효과"
"Damage Over Time","지속 피해"
"Dance with Death","죽음의 춤"
"Devotion","헌신"
"Dialla's Wit","디알라의 재치"
"Discerning Taste","안목의 소유자"
"Divine Flesh","신성한 육체"
"Enduring Faith","인내하는 믿음"
"Energy Flow Studies","에너지 흐름 연구"
"Energy Shield","에너지 보호막"
"Eternal Adaptiveness","영원한 순응"
"Eternal Bloodlust","영원한 유혈 충동"
"Eternal Dominance","영원한 지배"
"Eternal Exploitation","영원한 착취"
"Eternal Fervour","영원한 열정"
"Eternal Fortitude","영원한 강건함"
"Eternal Resilience","영원한 회복력"
"Eternal Separation","영원한 이별"
"Eternal Subjugation","영원한 예속"
"Evasion","회피"
"Exquisite Pain","정교한 고통"
"Fire Damage","화염 피해"
"Fire Resistance","화염 저항"
"Flawless Execution","결함 없는 처형"
"Flesh to Flames","육체 화염화"
"Flesh to Frost","육체 서리화"
"Flesh to Lightning","육체 번개화"
"Flesh Worship","육체 숭배"
"Freeze Chance","동결 확률"
"Frenzied Faith","열광적인 믿음"
"Freshly Brewed","신선한 한 잔"
"Gemling Ambush","마석병의 매복"
"Gemling Inquisition","마석병의 이단 심문"
"Gemling Training","마석병 훈련"
"Geofri's End","조프리의 끝"
"Gleaming Legion","번뜩이는 군단"
"Heated Devotion","열렬한 헌신"
"Hierarchy","계층"
"Ignite Chance","점화 확률"
"Immortal Ambition","불멸의 야망"
"Inner Conviction","내면의 신념"
"Intolerance of Sin","씬의 분노"
"Jungle Paths","밀림 길"
"Laureate","계관인"
"Legacy of the Vaal","바알의 유산"
"Life","생명력"
"Lightning Damage","번개 피해"
"Lightning Resistance","번개 저항"
"Lioneye's Focus","라이온아이의 집중"
"Mana","마나"
"Mana Regeneration","마나 재생"
"Martyr's Might","순교자의 완력"
"Might of the Vaal","바알의 완력"
"Minion Damage","소환수 피해"
"Movement Speed","이동 속도"
"Night of a Thousand Ribbons","천 개의 리본의 밤"
"Physical Damage","물리 피해"
"Pooled Resources","물자 산더미"
"Power of Purpose","의지력의 힘"
"Powerful Faith","강력한 믿음"
"Price of Glory","영광의 대가"
"Projectile Damage","투사체 피해"
"Projectile Speed","투사체 속도"
"Purity Rebel","정화 반란자"
"Revitalising Darkness","되살아나는 어둠"
"Revitalising Flames","되살아나는 화염"
"Revitalising Frost","되살아나는 서리"
"Revitalising Lightning","되살아나는 번개"
"Revitalising Winds","되살아나는 바람"
"Rigwald's Might","리그월드의 완력"
"Rites of Lunaris","루나리스의 의식"
"Rites of Solaris","솔라리스의 의식"
"Ritual of Flesh","육체의 의식"
"Ritual of Immolation","제물의 의식"
"Ritual of Memory","기억의 의식"
"Ritual of Might","완력의 의식"
"Ritual of Shadows","그림자의 의식"
"Ritual of Stillness","정지의 의식"
"Ritual of Thunder","천둥의 의식"
"Robust Diet","보양식"
"Rural Life","전원 생활"
"Sceptre Pinnacle","셉터의 정점"
"Second Sight","꿰뚫어 보는 눈"
"Secret Tunnels","비밀 터널"
"Shadowy Streets","아련한 거리"
"Shock Chance","감전 확률"
"Skill Duration","스킬 지속시간"
"Slum Lord","빈민가 군주"
"Smite the Heretical","이단자 징벌"
"Smite the Ignorant","몰지각자 징벌"
"Smite the Wicked","악인 징벌"
"Soul Worship","영혼 숭배"
"Spell Block","주문 막기"
"Spell Damage","주문 피해"
"Spell Suppression","주문 억제"
"Street Urchin","거리의 악동"
"Strength of Blood","피의 힘"
"Superiority","우월성"
"Supreme Decadence","타락의 정점"
"Supreme Grandstanding","과시의 정점"
"Supreme Ostentation","허영의 정점"
"Tempered by War","전쟁의 담금질"
"Temple Paths","사원 길"
"Thaumaturgical Aptitude","마석학 적성"
"Thaumaturgical Protection","마석학 보호"
"The Traitor","배반자"
"Thoughts and Prayers","사색과 기도"
"Thundrous Devotion","우레 같은 헌신"
"Transcendence","초월"
"Virtue Gem Surgery","힘의 마석 수술"
"Voll's Coup","볼의 봉기"
"War Games","워 게임"
"With Eyes Open","트인 눈"
"Zealot","맹신자"
