Catalysed,催化的
Saturated,饱和的
Cautious,谨慎的
Panicked,恐慌之
Bubbling,起泡的
Seething,沸腾的
Caustic,腐蚀性的
Sapping,削弱的
"of Heat",热火之
"of Dousing",浇熄之
"of Staunching",止血之
"of Grounding",接地之
Ample,充足的
Perpetual,永久的
"of Iron Skin",铁皮之
"of Reflexes",反射之
"of Adrenaline",肾上腺素之
"of Steadiness",稳健之
"of Resistance",抗性之
"of Gluttony",暴食之
"of Craving",渴求之
"of Fending",抵御之
"of Animation",活泼之
Surgeon's,外科医生的
Avenger's,复仇的
"of Curing",治愈之
Alchemist's,炼金的
Chemist's,化学家的
Experimenter's,实验家的
Flagellant's,鞭笞的
Concentrated,专注的
Foreboding,预兆的
Enduring,持久的
"of Bloodletting",有血之
"of Draining",流失之
"of Acceleration",加速之
"of Quickening",迅速之
"of Infliction",施罚之
"of Efficiency",动能之
"of Warding",守护之
"of Runeflaring",符光之
"of Precision",－精准
Undiluted,原汁的
Thickened,加厚的
Viscous,黏性的
Condensed,浓黏的
Substantial,重多的
Opaque,蔽光的
Full-bodied,全型的
Prudent,谨简的
Prepared,全备的
Wary,谨戒的
Careful,谨细的
Startled,惊骇的
Frightened,恐骇的
Alarmed,警骇的
Terrified,惧骇的
Simmering,煨闷的
Ebullient,沸溢的
Effusive,喷熔的
Effervescent,沸熔的
Aged,老朽的
Fermented,陈酿的
Congealed,凝历的
Turbid,浊重的
Impairing,削妨的
Dizzying,眼昏的
Depleting,耗尽的
Vitiating,损坏的
Wide,宽大的
Plentiful,丰富的
Bountiful,丰厚的
Abundant,充裕的
Constant,恒常的
Continuous,恒续的
Endless,无穷的
Bottomless,无底的
Doled,施予的
Provisioned,配给的
Measured,慎重的
Allocated,分配的
Rationed,配给的
"of the Abalone",鲍鱼之
"of the Tortoise",乌龟之
"of the Pangolin",穿山甲之
"of the Armadillo",犰狳之
"of the Gazelle",瞪羚之
"of the Antelope",羚羊之
"of the Ibex",山羊之
"of the Impala",斑羚之
"of the Hare",野兔之
"of the Lynx",山猫之
"of the Cheetah",猎豹之
"of Stiffness",僵固之
"of Bracing",爽快之
"of Ballast",底石之
"of Counterpoise",称锤之
"of Stabilisation",稳固之
"of the Crystal",水晶之
"of the Prism",棱镜之
"of the Kaleidoscope",万花筒之
"of Variegation",多彩之
"of the Rainbow",彩虹之
"of the Novice",新手之
"of the Acolyte",辅祭之
"of the Summoner",召唤师之
"of the Conjurer",咒法师之
"of the Necromancer",召唤师之
Medic's,药师的
